Unidade Acadêmica / Curso / Habilitação;2014;2015;2016;2017
Geologia (B - Integral);78;69;69;66
Instituto de Ciências Humanas - IH;624;668;718;829
Filosofia (ABI - Integral);72;79;77;80
Filosofia (B - Integral);20;30;40;13
Filosofia (L - Integral);7;15;16;3
Filosofia (L - Noturno);81;71;98;91
Geografia (ABI - Integral);70;73;69;68
Geografia (B - Integral);6;3;7;8
Geografia (L - A Distância);-;-;-;162
Geografia (L - Integral);9;18;29;17
História (ABI - Integral);75;87;79;77
História (B - Integral);14;17;23;35
História (L - Integral);22;19;20;12
História (L - Noturno);81;90;92;96
Serviço Social (B - Integral);83;86;88;78
Serviço Social (B - Noturno);84;80;80;89
Instituto de Letras - IL;989;865;864;858
Letras (L - A Distância);184;2;1;-
Letras Francês (ABI - Integral);44;53;49;49
Letras Inglês (ABI - Integral);40;43;43;44
Letras Português (ABI - Integral);71;74;60;60
Letras-Espanhol (L - Noturno);65;82;79;77
Letras-Francês (B - Integral);8;9;7;1
Letras-Francês (L - Integral);9;14;6;12
Letras-Inglês (B - Integral);6;9;18;12
Letras-Inglês (L - Integral);26;28;22;19
Letras-Japonês (L - Noturno);52;56;57;67
Letras - Língua de Sinais Brasileira/Português Como Segunda Língua (L - Integral);-;30;41;40
Letras-Língua Estrang. Aplic. (B - Integral);60;67;62;66
Letras-Português (B - Integral);43;17;31;28
Letras-Português (L - Integral);40;32;42;22
Letras-Português (L - Noturno);123;118;109;129
Letras-Português do Brasil como Segunda Língua (L - Integral);56;64;65;67
Letras-Tradução Espanhol (B - Noturno);56;58;68;67
Letras-Tradução Francês (B - Integral);43;43;42;41
Letras-Tradução Inglês (B - Integral);63;66;62;57
Instituto de Psicologia - IP;172;193;185;222
Psicologia (B - Integral);12;20;62;74
Psicologia (L - Integral);13;10;7;10
Psicologia-Psicólogo (B - Integral);50;12;15;36
Psicologia (ABI - Integral);97;151;101;102
Instituto de Ciência Política - IPOL;128;137;123;118
Ciência Política (B - Integral);128;137;123;118
Instituto de Química - IQ;313;292;307;295
Engenharia Química (B - Integral);96;83;98;84
Química (B - Integral);79;77;72;68
Química (L - Noturno);74;67;69;76
Química Tecnológica (B - Integral);64;65;68;67
Instituto de Relações Internacionais - IREL;125;122;134;121
Relações Internacionais (B - Integral);125;122;134;121
Total Geral;9701;9848;10127;9878
